"brand_name","generic_name","year","total_dosage_units","total_beneficiaries"
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2012,403344,1249
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2013,518920,1620
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2014,680820,2097
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2015,718948,2290
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2016,1052113,3428
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2017,1014318,3025
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2018,761658,2341
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2019,642471,1878
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2020,547006,1595
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2021,459384,1313
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2022,310304,1147
"1st Tier Unifine Pentips","Pen Needle, Diabetic",2023,195672,699
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2012,NA,NA
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2013,NA,NA
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2014,269725,1289
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2015,986070,4330
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2016,1750907,6564
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2017,1850703,5967
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2018,1813908,5674
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2019,1830596,5319
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2020,1046616,3905
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2021,566872,1766
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2022,486206,1474
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",2023,406617,1267
"Abacavir","Abacavir Sulfate",2012,1329746,5616
"Abacavir","Abacavir Sulfate",2013,3757506,8354
