"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit","cancer_drug","notes"
"Atorvastatin Calcium","Atorvastatin Calcium","12","10814743.5","16778185","2945846906.1","4956622003","no","Statin; lowers cholesterol to reduce cardiovascular risk"
"Gabapentin","Gabapentin","12","5670180","7553448","3361222767","4404530561.2","no","Anticonvulsant; also used for neuropathic pain"
"Amlodipine Besylate","Amlodipine Besylate","12","8591502.8","11575402","2447093435.7","3531475194","no","Calcium channel blocker; treats hypertension and angina"
"Metformin HCl","Metformin HCl","12","5178604.1","5918026","2905970445.1","3422932236.3","no","Biguanide; first-line treatment for type 2 diabetes"
"Gavilyte-G","PEG3350/Sod Sulf,Bicarb,Cl/KCl","12","316836.6","766658","1355541222.1","3298443031.1","no","Osmotic laxative; bowel preparation before colonoscopy"
"Lisinopril","Lisinopril","12","8025360.1","8750470","2454414263.3","2839032773.5","no","ACE inhibitor; treats hypertension and heart failure"
"Levothyroxine Sodium*","Levothyroxine Sodium","10","7579646","8687969","2250350404.1","2818388143.6","no","Thyroid hormone replacement for hypothyroidism"
"Losartan Potassium","Losartan Potassium","12","5375712.6","8190862","1584416502.6","2620129104.6","no","ARB; treats hypertension and diabetic nephropathy"
"Metoprolol Succinate","Metoprolol Succinate","12","4733264.6","7156614","1462466122.2","2331558381","no","Beta-blocker; treats hypertension, heart failure, angina"
"Omeprazole","Omeprazole","12","6825776.2","7298218","1859332132.2","2092067971.3","no","Proton pump inhibitor; treats GERD and peptic ulcers"
"Carvedilol","Carvedilol","12","2926629.9","3511938","1599609700.1","2017058076.1","no","Alpha/beta-blocker; treats heart failure and hypertension"
"Rosuvastatin Calcium","Rosuvastatin Calcium","8","3881163.9","6945233","987746033.4","1948227334.5","no","Statin; lowers cholesterol to reduce cardiovascular risk"
"Metoprolol Tartrate*","Metoprolol Tartrate","10","4181802.2","3916109","1969349762.6","1889941005.5","no","Beta-blocker; treats hypertension, angina, post-MI"
"Eliquis","Apixaban","11","1792468.1","3927848","821299012.2","1875283428.8","no","Direct oral anticoagulant; prevents stroke in atrial fibrillation"
"PEG 3350-Electrolyte","Sodium Chloride/NaHCO3/KCl/PEG","11","253035.4","401739","1064079261.4","1708916201","no","Osmotic laxative; bowel preparation before colonoscopy"
"Pantoprazole Sodium*","Pantoprazole Sodium","10","4360954.2","6191845","1054348556.6","1651726032.8","no","Proton pump inhibitor; treats GERD and peptic ulcers"
"Tamsulosin HCl","Tamsulosin HCl","12","3535477.8","5074519","1021284670.6","1570177871.1","no","Alpha-1 blocker; treats benign prostatic hyperplasia (BPH)"
"Metformin HCl ER","Metformin HCl","12","1506984.1","2498132","877554010.1","1546035847.4","no","Biguanide; extended-release form for type 2 diabetes"
"Lactulose","Lactulose","12","454085.9","526962","1323706077.9","1545111950.1","no","Osmotic laxative; treats constipation and hepatic encephalopathy"
"Furosemide*","Furosemide","10","5508375.5","5640922","1404876974","1502674962.5","no","Loop diuretic; treats edema and heart failure"
"Gavilyte-C","PEG3350/Sod Sulf,Bicarb,Cl/KCl","12","182088","338109","783709342.2","1467585522","no","Osmotic laxative; bowel preparation before colonoscopy"
"Hydrocodone-Acetaminophen","Hydrocodone/Acetaminophen","12","5867384.6","5188771","1612677300.3","1418718156.8","no","Opioid analgesic combination; treats moderate to severe pain"
"Hydrochlorothiazide","Hydrochlorothiazide","12","4351099.6","4902174","1107785979.1","1373760832.9","no","Thiazide diuretic; treats hypertension and edema"
"Chlorhexidine Gluconate","Chlorhexidine Gluconate","12","1027337.9","1548760","905496685","1232142371.6","no","Antiseptic; oral rinse for gingivitis and periodontal disease"
"Potassium Chloride*","Potassium Chloride","10","3266417","3479756","1146908880.7","1230881249.5","no","Electrolyte supplement; treats/prevents hypokalemia"
"Simvastatin","Simvastatin","12","5633608.9","3917152","1571671737.2","1201897282.1","no","Statin; lowers cholesterol to reduce cardiovascular risk"
"Diclofenac Sodium*","Diclofenac Sodium","10","2223285.5","3196668","683889621.3","1095397685.8","no","NSAID; treats pain, inflammation, and arthritis"
"Trazodone HCl","Trazodone HCl","12","2620776.8","3666058","723568056.4","1065891128.5","no","Antidepressant; treats depression and insomnia"
